amfi_code,scheme_name,return_3yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,maximum_drawdown,return_score,sharpe_score,sortino_score,alpha_score,mdd_score,overall_score,rank
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,0.1256458965983131,0.2080059061194842,0.0907223361626697,0.0999032271865184,-30.87,0.8224657534246573,0.5029285638497125,0.5440638367710235,0.2533073489249451,0.0841061720498879,0.5276913538877606,24
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,-0.1622041516341668,-0.27027027640191,0.0206341846548073,0.0692381955361358,-24.78,0.9863013698630136,0.401555572844108,0.4556879003568293,0.0468548534111986,0.278861528621682,0.5223312651151449,25
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.6792396980856568,1.5025075404427246,0.0683080969996366,0.0001805493245055,-2.62,0.1391780821917808,0.6978893074852686,0.7832620203809795,0.1872836985547248,0.9875279820914614,0.4997235085974022,26
119095,Axis Small Cap Fund - Regular - Growth,20.98,-0.2654840897398992,-0.4466641878939952,0.0047275226568945,-0.072272951509689,-14.45,0.8679452054794521,0.3651831758237123,0.4230938100057418,0.0,0.6092101055324592,0.497219128154158,27
120841,Kotak Bluechip Fund - Regular - Growth,12.25,0.4120751764968917,0.7230874230937315,0.1195453922598354,0.0337976401463954,-17.86,0.3895890410958905,0.6038011987274721,0.6392406677649161,0.3382088869391847,0.5001598976654941,0.4964224683710455,28
118635,Nippon India ETF Nifty 50 BeES,11.77,0.5937764148773619,1.0047507761478265,0.1411900429377238,-0.0191071433483192,-26.75,0.3632876712328767,0.667791453782681,0.6912864594840217,0.4019656282832917,0.215861848417013,0.4960724857965327,29
102886,UTI Mid Cap Fund - Regular - Growth,15.61,0.0595437185980885,0.1010287079612381,0.0758082498976944,-0.0572803631250685,-13.43,0.5736986301369862,0.4796491670352446,0.5242965759127455,0.2093762384380886,0.6418292292932523,0.4924705546774945,30
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.2053498050696442,0.3515167514867427,0.103026237113872,0.0031717909890673,-32.22,0.5561643835616439,0.5309981217538688,0.5705817898040638,0.2895498664015934,0.0409338023664853,0.4612410636646606,31
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,-0.200579838470163,-0.3242300668944076,0.0291503935466197,0.0085245553748586,-21.92,0.7172602739726028,0.3880406952877304,0.4457172031158583,0.0719402999553808,0.3703229932842979,0.4491550409586221,32
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,-0.1095569320078511,-0.1953964550183241,0.0514059187439192,-0.0447806065072467,-17.41,0.5315068493150685,0.420096497726421,0.4695230949985519,0.1374964405740433,0.5145506875599616,0.4304603330679388,33
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.046518165860453,0.0801091754096877,0.0683471940116922,0.0561590699888555,-17.4,0.3835616438356165,0.4750619201383849,0.5204310619144443,0.1873988631800197,0.5148704828909497,0.4175170633342679,34
119092,Axis Bluechip Fund - Regular - Growth,11.84,0.0531191101444326,0.0905818927093271,0.0714496547723982,0.0191270831948417,-27.54,0.3671232876712328,0.4773865939386405,0.5223662120055016,0.1965375086215303,0.1905980172689478,0.3824973052072546,35
120844,Kotak Liquid Fund - Regular - Growth,6.18,-0.1655568238536584,-0.3456763619207125,0.0641702211521603,-0.0005967839328868,-3.81,0.056986301369863,0.4003748524904439,0.441754353877636,0.1750951220769772,0.9494723377038694,0.3267519763910306,36
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,-0.3452012877396713,-0.5842746101278463,0.0517388391575306,-0.009564380621137,-2.3,0.050958904109589,0.3371089377075658,0.3976661379415465,0.1384770949174501,0.9977614326830828,0.2996458407540033,37
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,-0.5694185462615488,-0.9937202040241452,0.042427619371323,0.0028891174412617,-2.23,0.0093150684931507,0.2581456918404599,0.322008726818774,0.1110498547950753,1.0,0.2483901670910763,38
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,-0.731914661806236,-1.2409947080658643,0.0368123194407559,0.0023587551733086,-6.01,0.1221917808219178,0.2009189609063966,0.2763173111793074,0.0945093603065925,0.8791173648864726,0.2442388772436721,39
101208,ABSL Liquid Fund - Regular - Growth,5.14,-1.3024269058864029,-2.736379018745592,0.0583942443008002,0.0012170941605068,-3.66,0.0,0.0,0.0,0.1580813357330878,0.954269267668692,0.1191391271268323,40
